ItemID,Correct,Incorrect,Total,Accuracy,NoneType Count
CARBON_R,9,1,10,0.9,0
CARBON_X,13,1,14,0.93,0
COMBINE_R,10,0,10,1.0,0
COMBINE_X,11,3,14,0.79,0
FUTURE_R,10,0,10,1.0,0
FUTURE_X,11,3,14,0.79,0
HUMAN_R,9,1,10,0.9,0
HUMAN_X,12,2,14,0.86,0
ICE_R,9,1,10,0.9,0
ICE_X,13,1,14,0.93,0
OCEAN_R,10,0,10,1.0,0
OCEAN_X,12,2,14,0.86,1
VAPOR_R,10,0,10,1.0,0
VAPOR_X,14,0,14,1.0,0
VOSTOK_R,9,1,10,0.9,0
VOSTOK_X,14,0,14,1.0,0
WaterAquiferR,10,0,10,1.0,0
WaterAquiferX,14,0,14,1.0,0
WaterBedrockR,9,1,10,0.9,0
WaterBedrockX,9,5,14,0.64,0
WaterImpactR,9,1,10,0.9,0
WaterImpactX,10,4,14,0.71,0
WaterPumiceR,9,1,10,0.9,0
WaterPumiceX,14,0,14,1.0,0
WaterRunoffR,10,0,10,1.0,0
WaterRunoffX,12,2,14,0.86,0
WaterSupplyR,8,2,10,0.8,0
WaterSupplyX,12,2,14,0.86,0
WaterTrapR,9,1,10,0.9,0
WaterTrapX,11,3,14,0.79,1
WaterVernalR,9,1,10,0.9,0
WaterVernalX,12,2,14,0.86,0
